gene.id	SYMBOL	logFC	AveExpr	P.Value	adj.P.Val
19280	Ptprs	-3.15850462435951	7.64441009090363	8.07518622532115e-10	3.99935180488998e-07
69116	Ubr4	-3.40249937329801	6.45346161969305	8.14131702525688e-10	3.99935180488998e-07
11928	Atp1a1	-3.48353771067392	7.66629180201702	9.3393008566697e-10	4.02789267372197e-07
56442	Serinc1	-3.10414843608395	9.36710282764056	9.36586122113435e-10	4.02789267372197e-07
13838	Epha4	-3.14134928748242	7.60346185688063	9.55947658437671e-10	4.02789267372197e-07
110257	Hba-a2	3.86223382340673	4.40902121247571	1.01660266955276e-09	4.02789267372197e-07
65945	Clstn1	-3.06674345340251	9.01638974502484	1.06424327778064e-09	4.02789267372197e-07
319504	Nrcam	-3.14529802879629	6.87364695905707	1.07787717938603e-09	4.02789267372197e-07
12287	Cacna1b	-4.10287405116574	5.37142221671457	1.09297608341641e-09	4.02789267372197e-07
269116	Nfasc	-3.32699227863299	6.72069522680807	1.09883574096244e-09	4.02789267372197e-07
66425	Pcp4l1	3.25604397871566	5.33084736843408	1.10239212735769e-09	4.02789267372197e-07
67972	Atp2b1	-3.30536649684398	8.57479780585494	1.10268015074517e-09	4.02789267372197e-07
269878	Megf8	-3.65952554027868	5.87659942326767	1.21963391232955e-09	4.29809658165558e-07
192159	Prpf8	-3.53983044138773	7.21251284848314	1.24714596638629e-09	4.29809658165558e-07
20349	Sema3e	-4.3131291785218	5.06215459495201	1.2976004663781e-09	4.29809658165558e-07
14800	Gria2	-3.00914349783029	8.07886336883126	1.31185966315806e-09	4.29809658165558e-07
94229	Slc4a10	-3.17283438854168	6.36803918980044	1.32750420885052e-09	4.29809658165558e-07
235439	Herc1	-4.12732308427098	6.73164615246938	1.42330580294303e-09	4.37997588518704e-07
11938	Atp2a2	-3.19316981917478	8.45370910974788	1.43289228964398e-09	4.37997588518704e-07
18549	Pcsk2	-3.04689661149619	7.4272249119433	1.44502924753468e-09	4.37997588518704e-07
18164	Nptx1	-2.96247030742934	8.81123073033563	1.55875580186735e-09	4.42392025944888e-07
54411	Atp6ap1	-3.01682881005277	7.48338728653534	1.56778315971174e-09	4.42392025944888e-07
77480	Kidins220	-2.94834644425244	7.36345899809059	1.60520488582383e-09	4.42392025944888e-07
382018	Unc13a	-3.64847945678987	7.77634455464932	1.61510102042338e-09	4.42392025944888e-07
12286	Cacna1a	-3.90450098321879	5.98696596605336	1.62652535465456e-09	4.42392025944888e-07
320609	Strip2	-4.17972392778112	4.87452581867297	1.66637909455743e-09	4.42392025944888e-07
11515	Adcy9	-3.15413777139507	6.14096384103256	1.69333461404049e-09	4.42392025944888e-07
16728	L1cam	-3.43160473274004	5.53305841993278	1.72051659964534e-09	4.42392025944888e-07
77629	Sphkap	-4.00927435689712	7.4243853412129	1.73901119282e-09	4.42392025944888e-07
360013	Myo18a	-3.09911844282412	7.06848973508284	1.78815281382807e-09	4.44298288833058e-07
210933	Adgrb3	-3.36044377612967	5.54147190799182	1.83002367469467e-09	4.44298288833058e-07
16536	Kcnq2	-2.89615068420418	8.19810012345397	1.84006732003022e-09	4.44298288833058e-07
12653	Chgb	-2.983469254317	9.20857140628823	1.89087310302434e-09	4.48956303761411e-07
14810	Grin1	-2.91390221559174	7.02069018017794	1.97901555111282e-09	4.56885347532682e-07
15204	Herc2	-4.00908908092615	6.83491637188636	1.98841018861619e-09	4.56885347532682e-07
14387	Gaa	-2.91533613321575	7.00270919307391	2.06093977630126e-09	4.66034096082344e-07
56747	Sez6l	-3.1200645066243	6.84457161955879	2.15927767386213e-09	4.80641714716248e-07
18484	Pam	-3.14753973443477	6.16247500191929	2.25835810831565e-09	4.81316341371763e-07
20338	Sel1l	-3.03389707593735	6.23999563485512	2.25847754919088e-09	4.81316341371763e-07
23966	Tenm4	-3.96474643063302	5.59483262546945	2.3376621956049e-09	4.81316341371763e-07
20273	Scn8a	-3.1425315133289	7.50397814993108	2.36750646528642e-09	4.81316341371763e-07
229791	Plppr4	-3.06494982885153	7.3746724660155	2.37596198291517e-09	4.81316341371763e-07
320365	Fry	-4.02575995251864	6.74219833319348	2.40789656130636e-09	4.81316341371763e-07
94332	Cadm3	-2.79181102619999	8.08220533058444	2.41555440476511e-09	4.81316341371763e-07
235380	Dmxl2	-3.23770350889173	7.52076488654744	2.43259698011841e-09	4.81316341371763e-07
105689	Mycbp2	-3.42940633071169	7.23486568484738	2.58376082140609e-09	5.03028160583455e-07
